"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M07","Loans to households, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M07","Loans to non-financial corporations, including securitisations","%","-0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M08","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M08","Loans to non-financial corporations, including securitisations","%","-1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M09","Loans to households, including securitisations","%","0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M09","Loans to non-financial corporations, including securitisations","%","1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M10","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M10","Loans to non-financial corporations, including securitisations","%","0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M11","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M11","Loans to non-financial corporations, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M12","Loans to households, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2019M12","Loans to non-financial corporations, including securitisations","%","-2.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M01","Loans to households, including securitisations","%","-0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M01","Loans to non-financial corporations, including securitisations","%","-1.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M02","Loans to households, including securitisations","%","-0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M02","Loans to non-financial corporations, including securitisations","%","-0.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M03","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M03","Loans to non-financial corporations, including securitisations","%","1.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M04","Loans to households, including securitisations","%","-0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M04","Loans to non-financial corporations, including securitisations","%","4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M05","Loans to households, including securitisations","%","-0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M05","Loans to non-financial corporations, including securitisations","%","-1.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M06","Loans to households, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M06","Loans to non-financial corporations, including securitisations","%","-1.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M07","Loans to households, including securitisations","%","-0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M07","Loans to non-financial corporations, including securitisations","%","-1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M08","Loans to households, including securitisations","%","-0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M08","Loans to non-financial corporations, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M09","Loans to households, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M09","Loans to non-financial corporations, including securitisations","%","-2.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M10","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M10","Loans to non-financial corporations, including securitisations","%","-1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M11","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M11","Loans to non-financial corporations, including securitisations","%","0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M12","Loans to households, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2020M12","Loans to non-financial corporations, including securitisations","%","-1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M01","Loans to households, including securitisations","%","-0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M01","Loans to non-financial corporations, including securitisations","%","-0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M02","Loans to households, including securitisations","%","-0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M02","Loans to non-financial corporations, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M03","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M03","Loans to non-financial corporations, including securitisations","%","-0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M04","Loans to households, including securitisations","%","-0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M04","Loans to non-financial corporations, including securitisations","%","1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M05","Loans to households, including securitisations","%","-0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M05","Loans to non-financial corporations, including securitisations","%","1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M06","Loans to households, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M06","Loans to non-financial corporations, including securitisations","%","0.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M07","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M07","Loans to non-financial corporations, including securitisations","%","-0.5"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M08","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M08","Loans to non-financial corporations, including securitisations","%","-0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M09","Loans to households, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M09","Loans to non-financial corporations, including securitisations","%","1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M10","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M10","Loans to non-financial corporations, including securitisations","%","-1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M11","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M11","Loans to non-financial corporations, including securitisations","%","0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M12","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2021M12","Loans to non-financial corporations, including securitisations","%","-0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M01","Loans to households, including securitisations","%","-0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M01","Loans to non-financial corporations, including securitisations","%","1.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M02","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M02","Loans to non-financial corporations, including securitisations","%","0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M03","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M03","Loans to non-financial corporations, including securitisations","%","1.9"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M04","Loans to households, including securitisations","%","-0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M04","Loans to non-financial corporations, including securitisations","%","1.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M05","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M05","Loans to non-financial corporations, including securitisations","%","0.8"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M06","Loans to households, including securitisations","%","-0.1"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M06","Loans to non-financial corporations, including securitisations","%","1.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M07","Loans to households, including securitisations","%","-0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M07","Loans to non-financial corporations, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M08","Loans to households, including securitisations","%","-0.3"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M08","Loans to non-financial corporations, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M09","Loans to households, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M09","Loans to non-financial corporations, including securitisations","%","0.7"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M10","Loans to households, including securitisations","%","0"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M10","Loans to non-financial corporations, including securitisations","%","0.4"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M11","Loans to households, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M11","Loans to non-financial corporations, including securitisations","%","-0.6"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M12","Loans to households, including securitisations","%","0.2"
"One month adjusted growth rate of outstanding amount of loans and securitisations","2022M12","Loans to non-financial corporations, including securitisations","%","-1.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M01","Loans to households, including securitisations","%",""
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M01","Loans to non-financial corporations, including securitisations","%",""
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M02","Loans to households, including securitisations","%",""
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M02","Loans to non-financial corporations, including securitisations","%",""
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M03","Loans to households, including securitisations","%",""
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M03","Loans to non-financial corporations, including securitisations","%",""
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M04","Loans to households, including securitisations","%","4.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M04","Loans to non-financial corporations, including securitisations","%","3.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M05","Loans to households, including securitisations","%","4.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M05","Loans to non-financial corporations, including securitisations","%","4.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M06","Loans to households, including securitisations","%","3.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M06","Loans to non-financial corporations, including securitisations","%","5.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M07","Loans to households, including securitisations","%","5.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M07","Loans to non-financial corporations, including securitisations","%","5.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M08","Loans to households, including securitisations","%","5.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M08","Loans to non-financial corporations, including securitisations","%","4.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M09","Loans to households, including securitisations","%","6.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M09","Loans to non-financial corporations, including securitisations","%","4.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M10","Loans to households, including securitisations","%","5.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M10","Loans to non-financial corporations, including securitisations","%","3.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M11","Loans to households, including securitisations","%","6.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M11","Loans to non-financial corporations, including securitisations","%","3.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M12","Loans to households, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2003M12","Loans to non-financial corporations, including securitisations","%","5.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M01","Loans to households, including securitisations","%","6.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M01","Loans to non-financial corporations, including securitisations","%","5.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M02","Loans to households, including securitisations","%","5.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M02","Loans to non-financial corporations, including securitisations","%","6.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M03","Loans to households, including securitisations","%","5.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M03","Loans to non-financial corporations, including securitisations","%","7.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M04","Loans to households, including securitisations","%","5.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M04","Loans to non-financial corporations, including securitisations","%","6.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M05","Loans to households, including securitisations","%","6.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M05","Loans to non-financial corporations, including securitisations","%","8.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M06","Loans to households, including securitisations","%","6.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M06","Loans to non-financial corporations, including securitisations","%","5.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M07","Loans to households, including securitisations","%","7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M07","Loans to non-financial corporations, including securitisations","%","7.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M08","Loans to households, including securitisations","%","6.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M08","Loans to non-financial corporations, including securitisations","%","4.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M09","Loans to households, including securitisations","%","6.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M09","Loans to non-financial corporations, including securitisations","%","4.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M10","Loans to households, including securitisations","%","5.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M10","Loans to non-financial corporations, including securitisations","%","4.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M11","Loans to households, including securitisations","%","6.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M11","Loans to non-financial corporations, including securitisations","%","7.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M12","Loans to households, including securitisations","%","6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2004M12","Loans to non-financial corporations, including securitisations","%","8.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M01","Loans to households, including securitisations","%","5.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M01","Loans to non-financial corporations, including securitisations","%","8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M02","Loans to households, including securitisations","%","5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M02","Loans to non-financial corporations, including securitisations","%","5.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M03","Loans to households, including securitisations","%","5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M03","Loans to non-financial corporations, including securitisations","%","6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M04","Loans to households, including securitisations","%","5.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M04","Loans to non-financial corporations, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M05","Loans to households, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M05","Loans to non-financial corporations, including securitisations","%","7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M06","Loans to households, including securitisations","%","6.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M06","Loans to non-financial corporations, including securitisations","%","6.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M07","Loans to households, including securitisations","%","7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M07","Loans to non-financial corporations, including securitisations","%","7.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M08","Loans to households, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M08","Loans to non-financial corporations, including securitisations","%","7.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M09","Loans to households, including securitisations","%","7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M09","Loans to non-financial corporations, including securitisations","%","6.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M10","Loans to households, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M10","Loans to non-financial corporations, including securitisations","%","7.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M11","Loans to households, including securitisations","%","6.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M11","Loans to non-financial corporations, including securitisations","%","9.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M12","Loans to households, including securitisations","%","6.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2005M12","Loans to non-financial corporations, including securitisations","%","9.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M01","Loans to households, including securitisations","%","6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M01","Loans to non-financial corporations, including securitisations","%","8.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M02","Loans to households, including securitisations","%","6.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M02","Loans to non-financial corporations, including securitisations","%","5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M03","Loans to households, including securitisations","%","5.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M03","Loans to non-financial corporations, including securitisations","%","7.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M04","Loans to households, including securitisations","%","5.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M04","Loans to non-financial corporations, including securitisations","%","7.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M05","Loans to households, including securitisations","%","5.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M05","Loans to non-financial corporations, including securitisations","%","9.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M06","Loans to households, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M06","Loans to non-financial corporations, including securitisations","%","8.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M07","Loans to households, including securitisations","%","7.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M07","Loans to non-financial corporations, including securitisations","%","9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M08","Loans to households, including securitisations","%","6.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M08","Loans to non-financial corporations, including securitisations","%","7.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M09","Loans to households, including securitisations","%","5.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M09","Loans to non-financial corporations, including securitisations","%","7.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M10","Loans to households, including securitisations","%","5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M10","Loans to non-financial corporations, including securitisations","%","7.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M11","Loans to households, including securitisations","%","4.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M11","Loans to non-financial corporations, including securitisations","%","8.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M12","Loans to households, including securitisations","%","5.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2006M12","Loans to non-financial corporations, including securitisations","%","8.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M01","Loans to households, including securitisations","%","4.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M01","Loans to non-financial corporations, including securitisations","%","7.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M02","Loans to households, including securitisations","%","3.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M02","Loans to non-financial corporations, including securitisations","%","5.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M03","Loans to households, including securitisations","%","3.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M03","Loans to non-financial corporations, including securitisations","%","5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M04","Loans to households, including securitisations","%","3.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M04","Loans to non-financial corporations, including securitisations","%","6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M05","Loans to households, including securitisations","%","3.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M05","Loans to non-financial corporations, including securitisations","%","6.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M06","Loans to households, including securitisations","%","3.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M06","Loans to non-financial corporations, including securitisations","%","6.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M07","Loans to households, including securitisations","%","3.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M07","Loans to non-financial corporations, including securitisations","%","5.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M08","Loans to households, including securitisations","%","3.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M08","Loans to non-financial corporations, including securitisations","%","4.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M09","Loans to households, including securitisations","%","3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M09","Loans to non-financial corporations, including securitisations","%","4.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M10","Loans to households, including securitisations","%","2.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M10","Loans to non-financial corporations, including securitisations","%","5.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M11","Loans to households, including securitisations","%","2.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M11","Loans to non-financial corporations, including securitisations","%","5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M12","Loans to households, including securitisations","%","3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2007M12","Loans to non-financial corporations, including securitisations","%","5.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M01","Loans to households, including securitisations","%","2.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M01","Loans to non-financial corporations, including securitisations","%","4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M02","Loans to households, including securitisations","%","2.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M02","Loans to non-financial corporations, including securitisations","%","4.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M03","Loans to households, including securitisations","%","1.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M03","Loans to non-financial corporations, including securitisations","%","4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M04","Loans to households, including securitisations","%","1.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M04","Loans to non-financial corporations, including securitisations","%","4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M05","Loans to households, including securitisations","%","1.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M05","Loans to non-financial corporations, including securitisations","%","3.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M06","Loans to households, including securitisations","%","1.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M06","Loans to non-financial corporations, including securitisations","%","2.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M07","Loans to households, including securitisations","%","2.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M07","Loans to non-financial corporations, including securitisations","%","2.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M08","Loans to households, including securitisations","%","1.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M08","Loans to non-financial corporations, including securitisations","%","3.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M09","Loans to households, including securitisations","%","1.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M09","Loans to non-financial corporations, including securitisations","%","2.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M10","Loans to households, including securitisations","%","0.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M10","Loans to non-financial corporations, including securitisations","%","1.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M11","Loans to households, including securitisations","%","0.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M11","Loans to non-financial corporations, including securitisations","%","0.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M12","Loans to households, including securitisations","%","0.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2008M12","Loans to non-financial corporations, including securitisations","%","-0.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M01","Loans to households, including securitisations","%","0.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M01","Loans to non-financial corporations, including securitisations","%","0"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M02","Loans to households, including securitisations","%","0.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M02","Loans to non-financial corporations, including securitisations","%","-0.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M03","Loans to households, including securitisations","%","-0.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M03","Loans to non-financial corporations, including securitisations","%","0.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M04","Loans to households, including securitisations","%","-0.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M04","Loans to non-financial corporations, including securitisations","%","0"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M05","Loans to households, including securitisations","%","-0.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M05","Loans to non-financial corporations, including securitisations","%","0.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M06","Loans to households, including securitisations","%","-0.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M06","Loans to non-financial corporations, including securitisations","%","-1.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M07","Loans to households, including securitisations","%","-0.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M07","Loans to non-financial corporations, including securitisations","%","-1.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M08","Loans to households, including securitisations","%","-0.3"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M08","Loans to non-financial corporations, including securitisations","%","-1.7"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M09","Loans to households, including securitisations","%","-0.6"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M09","Loans to non-financial corporations, including securitisations","%","-0.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M10","Loans to households, including securitisations","%","-0.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M10","Loans to non-financial corporations, including securitisations","%","-0.1"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M11","Loans to households, including securitisations","%","-0.5"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M11","Loans to non-financial corporations, including securitisations","%","0.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M12","Loans to households, including securitisations","%","-0.4"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2009M12","Loans to non-financial corporations, including securitisations","%","-0.9"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M01","Loans to households, including securitisations","%","-0.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M01","Loans to non-financial corporations, including securitisations","%","-1.2"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M02","Loans to households, including securitisations","%","-0.8"
"Three month adjusted growth rate of outstanding amount of loans and securitisations","2010M02","Loans to non-financial corporations, including securitisations","%","-1.3"
